,OmsPostingId,PostingNumber,RezonItemId,Quantity,Price,Date,SourceLocationId
650,23842065042,39900082-0238-1,1084557761,1,1048.0,2024-03-01,6048863967000
688,23847941242,0108807386-0093-3,946353038,1,104.0,2024-03-01,23843917228000
774,23872231003,0108364779-0077-1,992651150,1,1053.0,2024-03-01,23903599483000
822,23886402194,76105874-0100-1,1000173727,1,1672.0,2024-03-01,6048863967000
890,23902816915,71654147-0060-4,1307152522,1,639.0,2024-03-01,6048863967000
891,23902816915,71654147-0060-4,1313223257,1,822.0,2024-03-01,6048863967000
901,23907777263,47873119-0075-4,1408356051,1,387.0,2024-03-01,23128509046000
902,23907777263,47873119-0075-4,1422676979,1,468.0,2024-03-01,23128509046000
910,23911807351,0150453431-0003-1,1319662221,1,691.0,2024-03-01,23128509046000
912,23911807351,0150453431-0003-1,1425125840,1,311.0,2024-03-01,23128509046000
968,23921862313,56297737-0171-1,611430548,1,455.0,2024-03-01,6048863967000
969,23921862313,56297737-0171-1,655502873,1,648.0,2024-03-01,6048863967000
977,23925926950,0145062694-0004-1,577138608,1,343.0,2024-03-01,18044570445000
979,23925926950,0145062694-0004-1,1424732674,1,381.0,2024-03-01,18044570445000
1023,23937040648,53011080-0428-2,999780072,1,1061.0,2024-03-01,6048863967000
1025,23937040648,53011080-0428-2,942697744,1,894.0,2024-03-01,6048863967000
1026,23937040648,53011080-0428-2,953070323,1,4042.0,2024-03-01,6048863967000
1090,23946504841,40088297-0423-3,1200255071,1,1008.0,2024-03-01,18044570445000
1108,23951945209,83080281-0023-13,1031771742,1,182.0,2024-03-01,23903599483000
1110,23951945209,83080281-0023-13,298415515,1,297.0,2024-03-01,23903599483000
1142,23957170250,74662138-0129-1,581058787,1,649.0,2024-03-01,15431806189000
1144,23957170250,74662138-0129-1,581066813,1,649.0,2024-03-01,15431806189000
1184,23965496289,25696401-0061-2,306558491,1,1889.0,2024-03-01,15431806189000
1206,23970652597,29551141-0115-2,219075492,1,1517.0,2024-03-01,6048863967000
1207,23970652597,29551141-0115-2,311873687,1,791.0,2024-03-01,6048863967000
1213,23971102314,32835850-0306-3,526483791,1,391.0,2024-03-01,1020000267736000
1228,23972382989,0128125869-0035-3,1185477742,1,307.0,2024-03-01,23843917228000
1229,23972571664,0125625984-0223-11,640256697,1,1153.0,2024-03-01,18044249781000
1242,23974063782,0150679238-0012-2,1075008351,1,1050.0,2024-03-01,23021125185000
1243,23974063782,0150679238-0012-2,881572759,1,1656.0,2024-03-01,23021125185000
1244,23974063782,0150679238-0012-2,879560054,1,790.0,2024-03-01,23021125185000
1249,23974752603,62253611-0100-1,801047459,1,1053.0,2024-03-01,6048863967000
1251,23975090125,23044221-0460-3,357378213,1,726.0,2024-03-01,6048863967000
1252,23975090125,23044221-0460-3,359674514,1,876.0,2024-03-01,6048863967000
1257,23977152478,72477102-0125-2,825883182,1,579.0,2024-03-01,18044341087000
1279,23981298095,80592799-0054-1,240816788,1,1601.0,2024-03-01,18044249781000
1288,23983222222,95422638-0313-2,297650784,1,1373.0,2024-03-01,6048863967000
1289,23983222222,95422638-0313-2,297646180,1,1551.0,2024-03-01,6048863967000
1291,23983222222,95422638-0313-2,297654608,1,1047.0,2024-03-01,6048863967000
1379,23997487348,61873332-0150-2,1407288597,1,443.0,2024-03-01,23903599483000
1380,23997487348,61873332-0150-2,688525931,1,581.0,2024-03-01,23903599483000
1381,23997487348,61873332-0150-2,858722207,1,386.0,2024-03-01,23903599483000
1389,24001251323,19162411-0059-1,620293310,1,703.0,2024-03-01,6048863967000
1453,24010787112,0131128264-0022-5,925642859,1,227.0,2024-03-01,23128509046000
1532,24023542227,65112243-0051-1,1315050060,1,1056.0,2024-03-01,6048863967000
1557,24027740180,73040052-0024-1,1234290123,1,1905.0,2024-03-01,6048863967000
1560,24027740180,73040052-0024-1,942781727,1,829.0,2024-03-01,6048863967000
1602,24036282021,0148228069-0013-1,771280279,1,836.0,2024-03-01,6048863967000
1629,24041376348,45217996-0043-4,396914096,1,249.0,2024-03-01,18044494830000
1637,24042926253,91830381-0011-1,1075389382,1,1402.0,2024-03-01,6048863967000
1638,24042926253,91830381-0011-1,1075385585,1,1210.0,2024-03-01,6048863967000
1663,24048198092,50126748-0069-1,853556058,1,1149.0,2024-03-01,6048863967000
1682,24051737377,0112311505-0007-1,1060988492,1,119.0,2024-03-01,23948599159000
1735,24060216562,59636130-0068-1,1022601616,1,187.0,2024-03-01,1020000267736000
1829,24079746017,62142337-0031-1,162772071,1,311.0,2024-03-01,18044570445000
1830,24079746017,62142337-0031-1,154724161,1,462.0,2024-03-01,18044570445000
1832,24079746017,62142337-0031-1,518647247,1,436.0,2024-03-01,18044570445000
1913,24093217866,0140590778-0016-1,1335305221,1,971.0,2024-03-01,18044570445000
1928,24094430762,93242106-0124-4,1416876297,1,748.0,2024-03-01,18044570445000
1930,24094430762,93242106-0124-4,1242155761,1,382.0,2024-03-01,18044570445000
1933,24094487762,0128720466-0243-1,1261227969,1,3355.0,2024-03-01,6048863967000
1952,24097680387,24822147-0050-1,309440608,1,2079.0,2024-03-01,6048863967000
1954,24097680387,24822147-0050-1,1028736308,1,838.0,2024-03-01,6048863967000
1956,24097734194,12931170-0256-1,1146401894,1,787.0,2024-03-01,23902289166000
1984,24101846614,17979862-0034-3,407606413,1,141.0,2024-03-01,17717042026000
2134,24128661948,53061532-0981-1,1173495804,1,308.62,2024-03-01,23903599483000
2135,24128661948,53061532-0981-1,187112785,1,356.55,2024-03-01,23903599483000
2136,24128661948,53061532-0981-1,1252543125,1,143.79,2024-03-01,23903599483000
2137,24128661948,53061532-0981-1,1252605479,1,143.79,2024-03-01,23903599483000
2140,24129116896,86653680-0080-1,348790868,1,471.0,2024-03-01,6048863967000
2170,24131344614,0113267206-0296-1,1413809191,1,1191.0,2024-03-01,6048863967000
2194,24136206758,96442982-0106-2,1250914610,1,812.0,2024-03-01,6048863967000
2226,24146336034,46585746-0034-10,1124739669,1,99.0,2024-03-01,23128509046000
2362,24174713226,0115690650-0123-1,544552178,1,174.0,2024-03-01,18044570445000
2363,24174713226,0115690650-0123-1,547083836,1,167.0,2024-03-01,18044570445000
2364,24174713226,0115690650-0123-1,1315685519,1,358.0,2024-03-01,18044570445000
2393,24181905025,78443425-0039-1,1081207718,1,333.0,2024-03-01,18044570445000
2447,24191720118,0128925814-0036-2,388113779,1,354.0,2024-03-01,23843917228000
2448,24191720118,0128925814-0036-2,388114064,1,331.0,2024-03-01,23843917228000
2475,24199215227,0135435371-0081-3,287646495,1,348.0,2024-03-01,23902289166000
2525,24205636202,52770874-0008-1,904756276,1,799.0,2024-03-01,6048863967000
2531,24206900468,0152977876-0005-1,174358673,1,450.0,2024-03-01,18044341087000
2546,24209472869,0133196597-0023-61,177347512,1,1869.0,2024-03-01,17717042026000
2588,24221944146,0156160050-0004-1,380161710,1,9.48,2024-03-01,23902289166000
2598,24222407537,30383473-0589-1,199526239,1,1545.0,2024-03-01,1020000974650000
2620,24226800388,0130277764-0008-3,527692509,1,845.0,2024-03-01,23903599483000
2621,24226800388,0130277764-0008-3,527692512,1,845.0,2024-03-01,23903599483000
2656,24231530562,32932402-0230-2,645430161,1,1139.0,2024-03-01,1020000435290000
2698,24239557294,75955326-0064-3,604997663,1,427.0,2024-03-01,1020000759116000
2708,24240474178,70168658-0035-1,1008280826,1,1481.0,2024-03-01,6048863967000
2710,24240474178,70168658-0035-1,1413809191,1,1191.0,2024-03-01,6048863967000
2712,24240764862,57266942-0091-2,1134365925,1,424.0,2024-03-01,23903599483000
2722,24241386894,15686382-0316-3,703133332,1,195.0,2024-03-01,15431806189000
2730,24243304083,61616115-0136-1,362471529,1,2239.0,2024-03-01,6048863967000
2740,24245497476,0156646708-0002-2,1409957816,1,520.0,2024-03-01,18044249781000
2774,24254342906,92244826-0063-2,580465617,1,790.31,2024-03-01,6048863967000
2804,24261960305,0152035633-0018-3,1294161618,1,239.0,2024-03-01,23903599483000
2844,24271134984,21271416-0111-4,825439247,1,470.0,2024-03-01,15431806189000
2846,24271134984,21271416-0111-4,921963991,1,263.0,2024-03-01,15431806189000
